4.48,0.501695
4.49,0.475103
4.50,0.381393
4.52,0.433086
4.53,0.426098
4.54,0.493983
4.55,0.427312
4.56,0.485273
4.57,0.502927
4.59,0.434270
4.60,0.445106
4.61,0.457898
4.62,0.472690
4.63,0.422109
4.64,0.465298
4.66,0.460659
4.67,0.372633
4.68,0.367092
4.69,0.404747
4.70,0.423283
4.71,0.364361
4.73,0.423016
4.74,0.415437
4.75,0.352090
4.76,0.363997
4.77,0.382563
4.78,0.374326
4.79,0.316753
4.81,0.330091
4.82,0.375573
4.83,0.267451
4.84,0.248715
4.85,0.263887
4.86,0.309215
4.88,0.343079
4.89,0.314800
4.90,0.287338
4.91,0.249103
4.92,0.279834
4.93,0.382374
4.95,0.434179
4.96,0.438274
4.97,0.598000
4.98,0.545915
4.99,0.430616
5.00,0.435967
5.02,0.515071
5.03,0.523851
5.04,0.480677
5.05,0.450545
5.06,0.509814
5.07,0.487169
5.09,0.420797
5.10,0.465347
5.11,0.469975
5.12,0.421507
5.13,0.425797
5.14,0.454767
5.15,0.448286
5.17,0.426865
5.18,0.453568
5.19,0.461179
5.20,0.493523
5.21,0.455380
5.22,0.465300
5.24,0.451718
5.25,0.465440
5.26,0.466704
5.27,0.447506
5.28,0.479059
5.29,0.442031
5.31,0.425557
5.32,0.392320
5.33,0.345386
5.34,0.371832
5.35,0.373202
5.36,0.374897
5.38,0.378653
5.39,0.337026
5.40,0.304629
5.41,0.315522
5.42,0.276918
5.43,0.287377
5.45,0.331556
5.46,0.972379
5.47,1.134878
5.48,0.792898
5.49,0.629209
5.50,0.625714
5.51,0.589217
5.53,0.474431
5.54,0.483066
5.55,0.555776
5.56,0.501655
5.57,0.501409
5.58,0.567387
5.60,0.533483
5.61,0.465926
5.62,0.516354
5.63,0.553970
5.64,0.532167
5.65,0.500668
5.67,0.526696
5.68,0.468882
5.69,0.405418
5.70,0.457906
5.71,0.446986
5.72,0.426169
5.74,0.427483
5.75,0.458848
5.76,0.375549
5.77,0.362536
5.78,0.489109
5.79,0.424116
5.80,0.383177
5.82,0.437572
5.83,0.519731
5.84,0.403444
5.85,0.358018
5.86,0.494933
5.87,0.415900
5.89,0.351158
5.90,0.331625
5.91,0.426311
5.92,0.378473
5.93,0.301257
5.94,0.345557
5.96,0.290880
5.97,0.248502
5.98,0.207975
5.99,0.554809
6.00,0.780864
6.01,0.721271
6.03,0.594197
6.04,0.732011
6.05,0.560170
6.06,0.496426
6.07,0.458432
6.08,0.479533
6.10,0.331165
6.11,0.468386
6.12,0.556335
6.13,0.474491
6.14,0.598208
6.15,0.594578
6.16,0.514434
6.18,0.509498
6.19,0.495698
6.20,0.560238
6.21,0.495979
6.22,0.569558
6.23,0.576253
6.25,0.472039
6.26,0.452306
6.27,0.502527
6.28,0.515446
6.29,0.436171
6.30,0.548830
6.32,0.581023
6.33,0.478677
6.34,0.460558
6.35,0.521580
6.36,0.521700
6.37,0.441519
6.39,0.526679
6.40,0.516195
6.41,0.453033
6.42,0.397997
6.43,0.393020
6.44,0.376275
6.46,0.269795
6.47,0.247748
6.48,0.205264
6.49,0.189575
6.50,0.174249
6.51,0.166356
6.52,0.166687
6.54,0.502516
6.55,0.762281
6.56,0.892932
6.57,0.632673
6.58,0.760700
6.59,0.629341
6.61,0.520923
6.62,0.536009
6.63,0.509770
6.64,0.662019
6.65,0.432732
6.66,0.413249
6.68,0.505036
6.69,0.448470
6.70,0.483702
6.71,0.439951
6.72,0.644620
6.73,0.337440
6.75,0.381419
6.76,0.475856
6.77,0.537518
6.78,0.363201
6.79,0.412348
6.80,0.611677
6.82,0.349137
6.83,0.379075
6.84,0.430585
6.85,0.484856
6.86,0.314428
6.87,0.324883
6.88,0.586657
6.90,0.337886
6.91,0.346820
6.92,0.426825
6.93,0.506367
6.94,0.260314
6.95,0.347412
6.97,0.446235
6.98,0.263464
6.99,0.178362
7.00,0.155536
7.01,0.118714
7.02,0.096725
7.04,0.104480
7.05,0.122071
7.06,0.098742
7.07,0.096219
7.08,0.463853
7.09,0.818036
7.11,0.854248
7.12,0.586100
7.13,0.687465
7.14,0.401571
